Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
treadmill_running,2019-01-30 05:25:47,false,"Treadmill Running","5.00","1,089","00:50:50","--","--","--","--","--","10:10","9:50","1,310","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-01-27 05:09:32,false,"Greeley Running","10.01","1,332","01:54:42","132","167","3.0","165","175","11:27","9:11","188","182","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","11","0.0"
running,2019-01-26 06:21:47,false,"Greeley Running","5.02","822","00:53:03","146","178","3.7","169","177","10:34","8:56","158","145","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","6","0.0"
treadmill_running,2019-01-24 05:28:44,false,"Morning Run","3.25","684","00:35:22","--","--","--","--","--","10:53","8:57","823","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
treadmill_running,2019-01-22 05:28:00,false,"Morning Run","4.89","1,118","00:55:00","130","145","--","--","--","11:15","10:00","1,616","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-01-21 07:17:25,false,"Greeley Running","3.01","462","00:30:41","142","157","3.1","170","176","10:11","8:49","69","56","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","4","0.0"
running,2019-01-20 07:17:48,false,"Greeley Running","9.01","1,281","01:40:36","136","163","3.0","165","176","11:10","8:30","122","159","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","10","0.0"
running,2019-01-19 09:35:25,false,"Greeley Running","6.21","1,009","01:01:39","155","170","4.6","168","176","9:55","8:23","166","183","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","7","0.0"
running,2019-01-16 05:17:27,false,"Greeley Running","3.43","535","00:32:43","154","175","3.7","171","176","9:32","8:14","81","78","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","4","0.0"
running,2019-01-15 05:37:42,false,"Greeley Running","4.31","718","00:43:52","152","174","4.0","170","176","10:11","8:36","75","74","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","5","0.0"
running,2019-01-09 05:23:39,false,"Greeley Running","3.02","473","00:29:29","150","172","3.3","170","176","9:46","8:29","70","64","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","4","0.0"
running,2019-01-05 16:35:28,false,"Greeley Running","5.01","838","00:50:59","152","172","4.0","168","176","10:10","8:10","115","131","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","6","0.0"
running,2019-01-03 17:59:39,false,"Greeley Running","5.82","907","00:55:38","151","173","4.1","170","178","9:34","7:59","169","186","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","6","0.0"
treadmill_running,2019-01-02 19:31:22,false,"Treadmill Running","3.00","634","00:32:42","--","--","--","--","--","10:54","10:55","703","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
treadmill_running,2019-01-01 09:57:10,false,"Treadmill Running","6.75","1,433","01:10:04","--","--","--","--","--","10:23","9:31","1,698","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2018-12-25 05:42:11,false,"Clark County Running","12.56","2,113","02:08:10","155","177","5.0","169","176","10:12","2:12","220","220","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","13","0.0"
running,2018-12-24 05:03:45,false,"Clark County Running","3.01","455","00:33:07","132","144","2.6","166","172","11:00","9:55","22","20","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","4","0.0"
running,2018-12-23 05:00:49,false,"Clark County Running","10.23","1,589","01:45:53","146","174","4.3","169","222","10:21","8:20","228","335","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","11","0.0"
